timestamp,distance_m,yaw_deg
1758890371.8933096,0.13,154.2
1758890371.943513,0.13,152.84
1758890371.9938078,0.13,151.04
1758890372.044066,0.14,148.34
1758890372.0943165,0.15,143.84
1758890372.1445453,0.16,138.89
1758890372.194795,0.19,133.5
1758890372.2450323,0.19,128.55
1758890372.2952948,0.17,123.14
1758890372.3456724,0.17,118.2
1758890372.3959022,0.16,112.8
1758890372.4461675,0.16,107.84
1758890372.4964488,0.15,102.45
1758890372.5466964,0.15,97.49
1758890372.5969956,0.15,92.09
1758890372.6472397,0.16,87.14
1758890372.69751,0.16,81.74
1758890372.747879,0.16,76.79
1758890372.7981322,0.17,71.39
1758890372.8484697,0.18,66.44
1758890372.8988235,0.16,61.05
1758890372.9492688,0.13,56.1
1758890372.9995544,0.11,50.7
1758890373.0498514,0.11,45.75
1758890373.1001413,0.1,40.34
1758890373.150429,0.1,35.4
1758890373.2007222,0.1,30.0
1758890373.251019,0.1,25.05
1758890373.3013215,0.09,19.65
1758890373.3516598,0.09,14.7
1758890373.401935,0.09,9.29
1758890373.4522183,0.09,4.35
1758890373.5024939,0.09,-0.58
1758890373.5528207,0.09,-5.99
1758890373.6031103,0.09,-10.94
1758890373.6534233,0.1,-16.33
1758890373.7037508,0.1,-21.29
1758890373.754075,0.1,-26.69
1758890373.804509,0.11,-31.63
1758890373.8548212,0.12,-37.04
1758890373.9052289,0.13,-41.98
1758890373.9555538,0.15,-47.39
1758890374.005955,0.17,-52.34
1758890374.0563402,0.17,-57.73
1758890374.1066492,0.16,-62.68
1758890374.1570542,0.15,-68.09
1758890374.2073476,0.15,-73.04
1758890374.2577631,0.15,-78.44
1758890374.3081567,0.15,-83.39
1758890374.3585484,0.15,-88.79
1758890374.4089298,0.15,-93.74
1758890374.4593008,0.16,-99.14
1758890374.50983,0.15,-75.29
1758890374.5602248,0.15,-80.24
1758890374.6105118,0.15,-85.64
1758890374.6609101,0.15,-90.59
1758890374.71132,0.15,-95.99
1758890374.7616322,0.16,-100.94
1758890374.8119075,0.16,-106.34
1758890374.862203,0.17,-111.29
1758890374.9124691,0.17,-116.69
1758890374.9627576,0.18,-121.64
